timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],reversible_flags
157497697,157497562,0.35402912,1.0,0.6551457,0.67344195,nan,nan,nan,nan,0
157595305,157595169,0.4298482,1.0,0.6736663,0.7035142,nan,nan,nan,nan,0
157696618,157696483,0.3433303,1.0,0.65589523,0.77564466,nan,nan,nan,nan,0
157795470,157795327,0.0,0.09287414,1.0,0.8087775,nan,nan,nan,nan,0
157896779,157896640,0.33464596,0.62526006,0.28983095,0.5032067,nan,nan,nan,nan,0
157998091,157997954,0.586208,0.8242202,0.74531096,0.5112427,nan,nan,nan,nan,0
158095694,158095562,0.30936602,0.73218864,0.5891174,0.46315885,nan,nan,nan,nan,0
158197021,158196876,0.041926853,0.58347374,0.4419176,0.34854215,nan,nan,nan,nan,0
158295858,158295719,0.0492771,0.55083853,0.4266361,0.29232535,nan,nan,nan,nan,0
158397167,158397033,0.0942362,0.5093888,0.39802933,0.27976128,nan,nan,nan,nan,0
158494776,158494640,2.802981e-09,0.24415177,0.20666564,0.029182535,nan,nan,nan,nan,0
158596161,158595954,2.3153781e-09,0.23901737,0.24144869,0.002431301,nan,nan,nan,nan,0
158694935,158694797,1.6565735e-09,0.24317792,0.2705079,0.02732998,nan,nan,nan,nan,0
158796252,158796111,2.447853e-09,0.23322117,0.2782133,0.04499213,nan,nan,nan,nan,0
158897560,158897425,1.7455561e-09,0.23854756,0.28181276,0.043265224,nan,nan,nan,nan,0
158995167,158995033,1.936372e-09,0.22653155,0.2538522,0.027320644,nan,nan,nan,nan,0
159096482,159096346,2.1766757e-09,0.2366931,0.26645073,0.029757617,nan,nan,nan,nan,0
159195325,159195189,1.7576052e-09,0.23346484,0.27364463,0.04017982,nan,nan,nan,nan,0
159296639,159296503,1.996844e-09,0.23453982,0.27229005,0.037750255,nan,nan,nan,nan,0
159397954,159397817,2.1056068e-09,0.22842155,0.2701261,0.041704576,nan,nan,nan,nan,0
159495558,159495425,1.8426136e-09,0.23335497,0.26977268,0.036417738,nan,nan,nan,nan,0
159596877,159596739,2.1344952e-09,0.23052105,0.2732239,0.042702872,nan,nan,nan,nan,0
159695717,159695582,1.8873938e-09,0.22853442,0.2711887,0.04265433,nan,nan,nan,nan,0
159797029,159796896,1.877436e-09,0.24419214,0.2732511,0.029058984,nan,nan,nan,nan,0
159894635,159894503,2.0135085e-09,0.24165262,0.28629735,0.044644747,nan,nan,nan,nan,0
159995958,159995817,1.8389921e-09,0.22836934,0.27151677,0.043147467,nan,nan,nan,nan,0
160098504,160098366,1.9683806e-09,0.23510998,0.27625802,0.041148063,nan,nan,nan,nan,0
160196109,160195974,1.9327215e-09,0.22990666,0.27069896,0.040792335,nan,nan,nan,nan,0
160297423,160297288,1.8290249e-09,0.22949792,0.27025792,0.040760033,nan,nan,nan,nan,0
160395033,160394895,1.9993243e-09,0.23332848,0.27659777,0.04326931,nan,nan,nan,nan,0
160497591,160497446,2.0029867e-09,0.2306811,0.27077162,0.040090542,nan,nan,nan,nan,0
160595187,160595052,1.880649e-09,0.23083673,0.26849398,0.037657257,nan,nan,nan,nan,0
160696516,160696366,2.0324178e-09,0.23586069,0.27489713,0.03903647,nan,nan,nan,nan,0
160797813,160797680,2.0263777e-09,0.2283956,0.26877886,0.04038329,nan,nan,nan,nan,0
160895423,160895287,1.8050463e-09,0.22807395,0.26792458,0.039850637,nan,nan,nan,nan,0
160997977,160997837,2.0461233e-09,0.24150392,0.2776567,0.0361528,nan,nan,nan,nan,0
161095579,161095444,2.0028628e-09,0.23649357,0.27613604,0.0396425,nan,nan,nan,nan,0
161196899,161196758,0.008421956,0.0021624258,0.009723657,0.024632888,nan,nan,nan,nan,0
161294510,161294365,0.01454548,0.002282202,0.013236088,0.034628175,nan,nan,nan,nan,0
161397057,161396915,0.022324499,2.0691887e-10,0.023999088,0.046323583,nan,nan,nan,nan,0
161498368,161498229,0.007738653,0.003193672,0.02158773,0.038907398,nan,nan,nan,nan,0
161595982,161595836,0.0063361456,2.5558462e-11,0.022856696,0.02919284,nan,nan,nan,nan,0
161697288,161697150,0.0087275,0.00054864294,0.02459322,0.034966644,nan,nan,nan,nan,0
161794901,161794757,0.005778261,5.4851776e-11,0.02194335,0.02772161,nan,nan,nan,nan,0
161897451,161897307,0.0072528375,0.0004560029,0.02252722,0.031148067,nan,nan,nan,nan,0
161995050,161994914,0.008688782,1.1356945e-11,0.02268019,0.03136897,nan,nan,nan,nan,0
162096368,162096228,0.007974863,0.00013752138,0.022511676,0.030899102,nan,nan,nan,nan,0
